Action_or_Object,Pic_Num,Dominant_Response,Registered_Resp,Missing_or_Not_Reg_Resp,Not_Reg_Resp,Alternative_Names,Agreement_Factor,Dominant_Resp,Sim_Offshoot_Resp,Synonym_Resp,Error_Valid_Resp,Mean_RT_All,SD_RT_All,Mean_RT_Dominant,SD_RT_Dominant,Mean_RT_Sim_Offshoots,Mean_RT_Synonym,Mean_RT_Error,Syllable_Count,Character_Count,Fricative_First_Syl,Word_Freq_in_English,Word_Sophistication,Visual_Complexity,Word_Partial_Repeats,Word_Complexity,Num_Objects,Keep
Object,obj152,fence,1,0,0,2,0.141,0.98,0,0,0.02,817,192,819,194,NA,NA,703,1,5,Present,3.434,3,17349,1,Singular,1,TRUE
Object,obj153,finger,0.98,0.02,0,2,0.169,0.98,0,0,0.02,787,193,775,174,NA,NA,1383,2,6,Present,4.82,1,5370,0,Singular,1,TRUE
Object,obj154,fire,1,0,0,3,0.282,0.96,0,0,0.04,854,211,854,214,NA,NA,865,2,4,Present,5.094,3,52543,0,Singular,2,TRUE
Object,obj155,fireman,1,0,0,3,0.383,0.94,0.04,0,0.02,898,162,899,166,842,NA,956,3,7,Present,1.609,2,26161,0,Complex,2,TRUE
Object,obj156,firetruck,0.96,0.02,0.02,4,1.289,0.646,0.292,0,0.063,1152,325,1066,255,1283,NA,1434,3,9,Present,0,1,41094,0,Complex,2,TRUE
Object,obj157,fish,0.98,0,0.02,1,0.029,1,0,0,0,777,219,777,219,NA,NA,NA,1,4,Present,5.1,1,12019,0,Singular,1,TRUE
Object,obj158,fishingpole,0.94,0,0.06,6,1.742,0.532,0.319,0,0.149,1231,298,1213,293,1294,NA,1158,2,11,Present,0,3,5685,0,Complex,1,TRUE
Object,obj159,flag,1,0,0,1,0,1,0,0,0,847,243,847,243,NA,NA,NA,1,4,Present,3.296,2,9461,0,Singular,1,TRUE
Object,obj160,flashlight,0.98,0.02,0,2,0.169,0.98,0.02,0,0,981,282,975,281,1276,NA,NA,2,10,Present,1.792,3,15410,0,Complex,2,TRUE
Object,obj161,wine,0.86,0.12,0.02,10,1.957,0.581,0.047,0,0.372,1448,475,1321,443,1337,NA,1659,1,4,Absent,4.382,3,24975,0,Singular,1,FALSE
Object,obj162,floor,0.96,0.04,0,6,1.765,0.521,0,0,0.479,1463,507,1594,554,NA,NA,1321,1,5,Present,4.344,3,20982,0,Singular,2,FALSE
Object,obj163,flower,1,0,0,1,0,1,0,0,0,754,144,754,144,NA,NA,NA,2,6,Present,4.543,1,15082,0,Singular,1,TRUE
Object,obj164,flute,0.98,0.02,0,6,0.906,0.857,0,0,0.143,1492,558,1402,488,NA,NA,2032,1,5,Present,1.386,3,7456,0,Singular,1,FALSE
